City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Strezhevoy,RU,60.7333,77.5889,57.04,72,94,7.25,overcast clouds
150,Lavrentiya,RU,65.5833,-171.0,29.05,93,87,7.65,overcast clouds
151,Sitka,US,57.0531,-135.33,48.09,61,100,5.75,overcast clouds
152,Henties Bay,NA,-22.116,14.2845,65.64,61,2,7.96,clear sky
153,Sola,VU,-13.8833,167.55,80.64,72,91,19.13,overcast clouds
154,Karratha,AU,-20.7377,116.8463,77.05,67,0,7.0,clear sky
155,Salmon Arm,CA,50.6998,-119.3024,50.43,97,100,1.19,overcast clouds
156,Hounde,BF,11.5,-3.5167,103.48,19,92,3.31,overcast clouds
157,Alekseyevka,RU,50.6309,38.6903,56.91,74,63,13.04,light rain
158,Port Lincoln,AU,-34.7333,135.8667,59.36,69,52,15.59,broken clouds
159,Isangel,VU,-19.55,169.2667,73.74,82,47,11.12,scattered clouds
160,Vardo,NO,70.3705,31.1107,42.78,81,100,5.75,overcast clouds
161,Patiya,BD,22.2931,91.9762,81.07,89,60,5.97,broken clouds
162,Honningsvag,NO,70.9821,25.9704,40.75,87,100,9.22,light rain
163,Baryshivka,UA,50.361,31.3217,58.06,59,97,12.66,overcast clouds
164,Pevek,RU,69.7008,170.3133,15.19,92,100,3.85,overcast clouds
165,Mount Gambier,AU,-37.8333,140.7667,53.96,65,32,12.62,scattered clouds
166,Ayan,RU,56.45,138.1667,32.95,92,100,6.2,light snow
167,Narsaq,GL,60.9167,-46.05,34.77,57,35,6.8,scattered clouds
168,Balkanabat,TM,39.5108,54.3671,80.35,22,3,10.18,clear sky
169,Rosarito,MX,32.3333,-117.0333,77.41,60,100,5.17,overcast clouds
170,Bin Qirdan,TN,33.1378,11.2197,89.24,22,4,8.95,clear sky
171,Bethel,US,41.3712,-73.414,70.88,99,100,5.01,overcast clouds
172,Tura,IN,25.5198,90.2201,73.92,96,37,7.56,scattered clouds
173,Chuy,UY,-33.6971,-53.4616,60.6,52,100,10.65,overcast clouds
174,Warsaw,PL,52.2298,21.0118,68.58,41,0,13.8,clear sky
175,Clyde River,CA,70.4692,-68.5914,27.05,70,20,6.02,few clouds
176,Kentwood,US,42.8695,-85.6448,70.12,67,100,6.91,overcast clouds
177,Auch,FR,43.65,0.5833,83.88,73,63,3.0,broken clouds
178,Napanee,CA,44.2501,-76.9494,75.58,75,80,6.04,broken clouds
179,Chifeng,CN,42.2683,118.9636,55.08,41,90,6.35,overcast clouds
